Sensor n. 01  Type: Barometer[161]  s/n:18104414  Batt:100%
Sensor n. 02  Type: AquaTR100[10]  s/n:630411  Batt:88%
Sensor n. 03  Type: AquaTR100[10]  s/n:630415  Batt:88%
Sensor n. 04  Type: AquaTR100[10]  s/n:630427  Batt:89%
Record n,Date,Time,Sensor n,Pressure(mBar)[2:21],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129]
6080,01/06/2019,03:30,01,1019.200,02,35545.020,11.743,47597.376,30.738,30.938,28.133,1.023,03,35702.652,11.625,47952.692,30.981,31.169,28.009,1.024,04,35368.496,11.456,47710.404,30.790,31.012,28.274,1.023
6081,01/06/2019,04:00,01,1019.000,02,35620.144,11.960,47434.732,30.643,30.833,28.074,1.023,03,35786.948,11.942,47678.116,30.816,30.991,27.943,1.023,04,35034.120,11.681,46987.876,30.296,30.542,28.544,1.023
6082,01/06/2019,04:30,01,1019.000,02,35691.364,12.322,47096.076,30.434,30.612,28.018,1.023,03,35794.452,11.979,47643.284,30.794,30.968,27.937,1.023,04,34945.308,11.234,47411.020,30.553,30.817,28.616,1.023
6083,01/06/2019,05:00,01,1019.000,02,35692.724,12.711,46639.784,30.142,30.316,28.017,1.023,03,35726.372,11.827,47736.920,30.847,31.029,27.991,1.023,04,35272.852,11.426,47618.676,30.722,30.952,28.350,1.023
6084,01/06/2019,05:30,01,1019.100,02,35683.420,12.903,46405.544,29.991,30.164,28.024,1.023,03,35798.764,11.938,47699.340,30.831,31.005,27.934,1.023,04,34847.732,11.125,47412.140,30.543,30.818,28.696,1.023
6085,01/06/2019,06:00,01,1019.300,02,35706.540,12.705,46665.276,30.160,30.332,28.006,1.023,03,35755.556,11.942,47636.292,30.786,30.964,27.968,1.023,04,34548.296,11.159,46964.112,30.226,30.527,28.945,1.023
6086,01/06/2019,06:30,01,1019.300,02,35657.176,12.533,46800.972,30.242,30.421,28.045,1.023,03,35701.636,11.709,47848.564,30.915,31.102,28.010,1.023,04,34556.328,11.332,46765.064,30.102,30.397,28.938,1.023
6087,01/06/2019,07:00,01,1019.500,02,35638.956,13.157,46056.684,29.762,29.937,28.059,1.022,03,35969.372,12.365,47411.492,30.665,30.817,27.801,1.023,04,34841.084,11.735,46663.636,30.069,30.331,28.702,1.023
6088,01/06/2019,07:30,01,1019.500,02,35432.472,13.402,45515.596,29.395,29.585,28.223,1.022,03,35899.652,13.004,46569.876,30.118,30.270,27.855,1.023,04,34736.012,12.019,46188.004,29.756,30.022,28.789,1.023
6089,01/06/2019,08:00,01,1019.500,02,35328.812,13.587,45177.324,29.167,29.365,28.306,1.022,03,35757.464,13.284,46065.524,29.779,29.943,27.966,1.022,04,34750.096,12.504,45643.744,29.411,29.668,28.777,1.022
6090,01/06/2019,08:30,01,1019.600,02,35235.172,13.665,44971.360,29.025,29.231,28.381,1.022,03,35593.964,13.229,45916.932,29.668,29.846,28.095,1.022,04,34853.076,12.823,45416.056,29.276,29.520,28.692,1.022
6091,01/06/2019,09:00,01,1019.500,02,35445.932,13.467,45459.680,29.360,29.549,28.212,1.022,03,35684.284,13.257,46002.640,29.732,29.902,28.024,1.022,04,34631.912,12.691,45271.216,29.161,29.426,28.879,1.022
6092,01/06/2019,09:30,01,1019.400,02,35557.664,13.202,45901.152,29.655,29.836,28.123,1.022,03,35757.076,12.577,46880.916,30.303,30.473,27.966,1.023,04,34594.712,12.179,45813.884,29.504,29.779,28.906,1.022
6093,01/06/2019,10:00,01,1019.200,02,35474.340,12.580,46506.900,30.035,30.229,28.189,1.023,03,35523.056,12.027,47225.120,30.499,30.696,28.151,1.023,04,34437.412,11.494,46409.640,29.864,30.166,29.038,1.023
6094,01/06/2019,10:30,01,1019.000,02,35565.128,13.530,45542.532,29.424,29.603,28.117,1.022,03,35554.972,11.936,47375.932,30.599,30.794,28.125,1.023,04,34251.956,11.144,46579.092,29.950,30.276,29.195,1.023
6095,01/06/2019,11:00,01,1018.800,02,35702.596,13.489,45764.620,29.580,29.747,28.009,1.022,03,35476.176,11.715,47538.892,30.694,30.900,28.188,1.023,04,34283.636,10.788,47057.276,30.254,30.587,29.168,1.023
6096,01/06/2019,11:30,01,1018.600,02,35675.996,13.370,45863.916,29.642,29.812,28.030,1.022,03,35465.260,11.556,47718.740,30.807,31.017,28.197,1.023,04,34322.028,10.737,47173.096,30.331,30.663,29.136,1.023
6097,01/06/2019,12:00,01,1018.500,02,35663.300,13.035,46227.504,29.875,30.048,28.040,1.022,03,35363.136,11.073,48179.612,31.086,31.317,28.278,1.024,04,34211.748,10.426,47407.924,30.465,30.815,29.230,1.023
6098,01/06/2019,12:30,01,1018.300,02,35637.828,12.726,46551.056,30.080,30.258,28.060,1.023,03,35394.584,10.873,48474.692,31.276,31.509,28.253,1.024,04,34529.196,10.509,47743.804,30.713,31.033,28.961,1.024
6099,01/06/2019,13:00,01,1017.900,02,35735.396,12.863,46519.456,30.069,30.238,27.983,1.023,03,35357.092,10.757,48570.356,31.332,31.571,28.283,1.024,04,34641.420,10.392,48047.152,30.917,31.231,28.867,1.024
6100,01/06/2019,13:30,01,1018.100,02,35749.104,12.705,46720.472,30.200,30.368,27.973,1.023,03,35413.156,10.695,48726.364,31.437,31.672,28.238,1.024,04,34608.888,10.345,48062.104,30.922,31.240,28.894,1.024
6101,01/06/2019,14:00,01,1017.900,02,35690.848,12.149,47301.220,30.565,30.746,28.018,1.023,03,35377.748,10.561,48850.420,31.510,31.753,28.266,1.024,04,34569.052,10.091,48331.812,31.085,31.416,28.928,1.024
6102,01/06/2019,14:30,01,1017.700,02,35891.708,12.333,47346.784,30.615,30.775,27.862,1.023,03,35327.608,10.355,49047.440,31.627,31.881,28.306,1.024,04,34732.500,10.094,48557.480,31.246,31.562,28.791,1.024
6103,01/06/2019,15:00,01,1017.500,02,35553.436,11.295,48160.156,31.096,31.304,28.127,1.024,03,35571.800,10.778,48837.904,31.526,31.745,28.112,1.024,04,34738.020,10.263,48346.472,31.115,31.425,28.787,1.024
6104,01/06/2019,15:30,01,1017.400,02,36017.764,12.356,47485.500,30.717,30.866,27.764,1.023,03,35504.776,10.640,48923.564,31.572,31.800,28.165,1.024,04,34754.088,10.419,48168.572,31.006,31.310,28.774,1.024
6105,01/06/2019,16:00,01,1017.200,02,36329.016,12.889,47261.036,30.604,30.720,27.526,1.023,03,36166.364,12.014,48095.896,31.123,31.262,27.650,1.024,04,35265.716,11.621,47370.340,30.564,30.791,28.356,1.023
6106,01/06/2019,16:30,01,1017.000,02,36315.588,12.768,47386.796,30.684,30.801,27.536,1.023,03,36239.244,12.234,47924.232,31.021,31.151,27.594,1.023,04,34816.312,10.672,47933.700,30.867,31.157,28.722,1.024
6107,01/06/2019,17:00,01,1016.800,02,36198.612,12.611,47419.064,30.693,30.822,27.625,1.023,03,36183.376,12.025,48104.720,31.130,31.268,27.637,1.024,04,34729.136,10.769,47692.160,30.705,31.000,28.794,1.023
6108,01/06/2019,17:30,01,1016.600,02,36160.072,12.544,47447.980,30.708,30.841,27.655,1.023,03,35945.088,11.662,48232.764,31.186,31.351,27.820,1.024,04,34901.336,10.780,47915.216,30.865,31.145,28.652,1.024
6109,01/06/2019,18:00,01,1016.500,02,36173.192,12.508,47508.676,30.748,30.881,27.645,1.023,03,36049.620,11.855,48134.920,31.135,31.288,27.740,1.024,04,34931.736,11.082,47580.444,30.659,30.927,28.627,1.023
6110,01/06/2019,18:30,01,1016.100,02,36244.072,12.729,47339.240,30.646,30.771,27.591,1.023,03,36433.336,12.469,47896.592,31.023,31.133,27.447,1.023,04,35351.604,11.878,47175.660,30.449,30.664,28.287,1.023
6111,01/06/2019,19:00,01,1016.000,02,36251.776,12.984,47050.404,30.461,30.583,27.585,1.023,03,36510.656,12.803,47599.104,30.840,30.939,27.389,1.023,04,35356.224,12.276,46707.404,30.152,30.360,28.284,1.023
6112,01/06/2019,19:30,01,1015.700,02,36074.864,12.808,47025.564,30.428,30.567,27.720,1.023,03,36147.736,12.405,47597.732,30.802,30.939,27.664,1.023,04,35224.376,11.726,47188.464,30.444,30.672,28.389,1.023
6113,01/06/2019,20:00,01,1015.800,02,35995.604,12.646,47112.032,30.476,30.623,27.781,1.023,03,36132.260,12.424,47554.944,30.773,30.911,27.676,1.023,04,35459.900,12.055,47106.620,30.417,30.619,28.201,1.023
6114,01/06/2019,20:30,01,1016.000,02,35915.832,12.405,47292.892,30.583,30.740,27.843,1.023,03,36093.520,12.209,47762.636,30.902,31.046,27.706,1.023,04,35276.160,11.820,47143.832,30.421,30.643,28.348,1.023
6115,01/06/2019,21:00,01,1016.000,02,35929.688,12.201,47555.096,30.753,30.911,27.832,1.023,03,36041.152,12.070,47861.104,30.960,31.110,27.746,1.023,04,35331.916,11.879,47147.864,30.430,30.646,28.303,1.023
6116,01/06/2019,21:30,01,1016.300,02,35802.692,11.804,47867.392,30.938,31.114,27.931,1.023,03,35941.108,11.633,48263.532,31.205,31.371,27.823,1.024,04,35259.096,11.261,47803.420,30.837,31.072,28.361,1.023
6117,01/06/2019,22:00,01,1016.500,02,35701.420,11.533,48064.544,31.052,31.242,28.010,1.024,03,35828.484,11.302,48524.392,31.358,31.541,27.911,1.024,04,34764.308,11.029,47417.964,30.537,30.822,28.765,1.023
6118,01/06/2019,22:30,01,1016.400,02,35665.260,11.535,48013.860,31.016,31.209,28.038,1.024,03,35797.124,11.128,48701.180,31.466,31.656,27.935,1.024,04,35369.588,10.900,48405.916,31.230,31.464,28.273,1.024
6119,01/06/2019,23:00,01,1016.100,02,35848.032,12.063,47613.176,30.781,30.949,27.896,1.023,03,35822.996,11.142,48718.040,31.480,31.667,27.915,1.024,04,35054.840,10.735,48182.360,31.052,31.319,28.527,1.024
6120,01/06/2019,23:30,01,1015.900,02,35815.796,12.024,47617.036,30.780,30.951,27.921,1.023,03,35926.192,11.451,48469.936,31.335,31.505,27.835,1.024,04,34903.516,10.708,48008.784,30.924,31.206,28.650,1.024
6121,02/06/2019,00:00,01,1016.000,02,35749.884,11.887,47695.764,30.823,31.002,27.972,1.023,03,35799.156,11.203,48608.284,31.408,31.595,27.934,1.024,04,35179.464,10.999,48020.812,30.965,31.214,28.426,1.024
6122,02/06/2019,00:30,01,1016.100,02,35780.776,11.785,47861.864,30.932,31.110,27.948,1.023,03,35730.808,10.833,48985.716,31.638,31.841,27.987,1.024,04,35363.336,10.561,48830.284,31.496,31.740,28.278,1.024
6123,02/06/2019,01:00,01,1015.900,02,35777.636,11.846,47782.012,30.881,31.058,27.950,1.023,03,35638.220,10.652,49091.840,31.694,31.910,28.060,1.024,04,34885.104,10.494,48254.472,31.076,31.365,28.666,1.024
6124,02/06/2019,01:30,01,1015.800,02,35657.420,11.500,48045.780,31.035,31.230,28.045,1.024,03,35559.272,10.419,49284.560,31.805,32.035,28.122,1.024,04,34920.700,10.165,48727.940,31.377,31.673,28.636,1.024
6125,02/06/2019,02:00,01,1015.800,02,35441.512,10.917,48482.916,31.287,31.514,28.216,1.024,03,35450.628,10.279,49317.004,31.812,32.056,28.208,1.024,04,34765.308,10.152,48527.616,31.232,31.543,28.764,1.024
6126,02/06/2019,02:30,01,1015.900,02,35372.792,10.597,48796.004,31.475,31.717,28.270,1.024,03,35499.812,10.397,49230.840,31.764,32.000,28.169,1.024,04,34549.732,10.295,48043.540,30.903,31.228,28.944,1.024
6127,02/06/2019,03:00,01,1015.900,02,35393.152,10.739,48642.796,31.382,31.618,28.254,1.024,03,35517.604,10.417,49229.684,31.765,31.999,28.155,1.024,04,35041.236,10.398,48593.660,31.308,31.586,28.538,1.024
6128,02/06/2019,03:30,01,1015.600,02,35513.848,10.871,48640.176,31.394,31.616,28.158,1.024,03,35712.108,10.912,48859.776,31.556,31.759,28.002,1.024,04,34921.276,10.857,47845.620,30.824,31.100,28.636,1.024
6129,02/06/2019,04:00,01,1015.600,02,35639.424,11.373,48179.456,31.118,31.317,28.059,1.024,03,35841.912,11.328,48508.932,31.350,31.531,27.900,1.024,04,35178.308,11.110,47866.292,30.866,31.113,28.435,1.024
6130,02/06/2019,04:30,01,1015.500,02,35719.744,11.740,47834.984,30.908,31.093,27.996,1.023,03,35933.672,11.753,48105.356,31.104,31.268,27.829,1.024,04,35071.976,11.408,47369.096,30.541,30.790,28.513,1.023
6131,02/06/2019,05:00,01,1015.400,02,35759.360,12.047,47514.892,30.709,30.885,27.965,1.023,03,35915.676,11.867,47941.044,30.997,31.162,27.843,1.024,04,35184.352,11.169,47816.556,30.837,31.081,28.422,1.024
6132,02/06/2019,05:30,01,1015.500,02,35805.516,12.418,47132.260,30.469,30.636,27.929,1.023,03,35873.136,11.766,48008.312,31.035,31.205,27.876,1.024,04,35050.748,11.047,47785.440,30.801,31.061,28.530,1.024
6133,02/06/2019,06:00,01,1015.400,02,35776.376,12.743,46711.744,30.197,30.363,27.951,1.023,03,35874.172,11.731,48052.056,31.063,31.234,27.875,1.024,04,34867.376,11.347,47167.184,30.391,30.659,28.680,1.023
6134,02/06/2019,06:30,01,1015.600,02,35799.692,12.464,47069.972,30.429,30.595,27.933,1.023,03,35938.484,11.846,47997.956,31.036,31.199,27.825,1.024,04,34835.308,11.055,47481.592,30.585,30.863,28.707,1.023
6135,02/06/2019,07:00,01,1015.900,02,35779.452,12.416,47099.764,30.446,30.615,27.949,1.023,03,35796.232,11.600,48109.240,31.091,31.271,27.936,1.024,04,34781.528,11.198,47232.440,30.422,30.701,28.751,1.023
6136,02/06/2019,07:30,01,1016.100,02,35703.392,12.625,46754.796,30.217,30.391,28.009,1.023,03,35877.496,11.688,48109.452,31.100,31.271,27.873,1.024,04,34841.028,11.429,47031.512,30.302,30.570,28.702,1.023
6137,02/06/2019,08:00,01,1016.100,02,35619.176,13.107,46088.552,29.781,29.958,28.075,1.022,03,36039.496,12.628,47190.640,30.530,30.674,27.747,1.023,04,34921.816,11.911,46553.832,30.007,30.260,28.640,1.023
6138,02/06/2019,08:30,01,1016.200,02,35477.572,13.574,45381.984,29.312,29.498,28.187,1.022,03,35972.564,13.335,46284.480,29.914,30.060,27.821,1.022,04,35020.412,12.321,46211.840,29.801,30.038,28.555,1.022
6139,02/06/2019,09:00,01,1016.400,02,35460.012,13.595,45335.520,29.281,29.468,28.201,1.022,03,35810.452,13.273,46147.192,29.837,29.996,27.925,1.022,04,35049.552,12.783,45717.972,29.488,29.717,28.531,1.022
6140,02/06/2019,09:30,01,1016.400,02,35458.608,13.515,45422.496,29.337,29.525,28.202,1.022,03,35758.004,13.245,46110.372,29.808,29.972,27.966,1.022,04,35024.772,12.673,45811.192,29.545,29.777,28.551,1.022
6141,02/06/2019,10:00,01,1016.400,02,35567.456,13.431,45655.496,29.497,29.676,28.116,1.022,03,35780.952,12.767,46690.040,30.183,30.349,27.948,1.023,04,35033.748,12.367,46175.076,29.779,30.014,28.544,1.022
6142,02/06/2019,10:30,01,1016.300,02,35683.844,12.677,46667.732,30.159,30.334,28.024,1.023,03,35630.904,12.020,47375.780,30.607,30.794,28.066,1.023,04,34872.872,11.535,46946.092,30.251,30.515,28.676,1.023
6143,02/06/2019,11:00,01,1016.700,02,35692.932,13.182,46098.536,29.795,29.964,28.017,1.022,03,35635.156,11.902,47524.204,30.702,30.891,28.062,1.023,04,34687.432,10.987,47364.344,30.494,30.787,28.829,1.023
6144,02/06/2019,11:30,01,1016.700,02,35802.436,13.230,46185.544,29.861,30.021,27.931,1.022,03,35548.184,11.482,47920.592,30.944,31.148,28.131,1.024,04,34912.408,10.781,47929.496,30.876,31.154,28.643,1.024
6145,02/06/2019,12:00,01,1016.700,02,35927.688,13.487,46055.176,29.788,29.936,27.834,1.022,03,35525.032,11.102,48363.264,31.221,31.436,28.149,1.024,04,35008.312,10.599,48291.492,31.114,31.389,28.565,1.024
6146,02/06/2019,12:30,01,1016.600,02,35903.708,13.070,46499.620,30.073,30.225,27.852,1.023,03,35453.512,10.744,48719.504,31.437,31.668,28.206,1.024,04,34618.784,10.471,47915.524,30.827,31.141,28.890,1.024
6147,02/06/2019,13:00,01,1016.600,02,35895.612,13.093,46462.180,30.048,30.200,27.859,1.023,03,35722.544,11.254,48441.072,31.293,31.487,27.994,1.024,04,34703.836,10.378,48151.120,30.989,31.298,28.815,1.024
6148,02/06/2019,13:30,01,1016.800,02,35845.908,12.367,47246.292,30.546,30.710,27.897,1.023,03,35599.452,10.899,48721.784,31.456,31.669,28.090,1.024,04,34828.936,10.425,48264.456,31.076,31.372,28.712,1.024
6149,02/06/2019,14:00,01,1016.900,02,35909.620,12.503,47168.144,30.503,30.659,27.848,1.023,03,35584.656,10.824,48797.000,31.502,31.718,28.102,1.024,04,34804.736,10.346,48333.032,31.115,31.416,28.732,1.024
6150,02/06/2019,14:30,01,1016.800,02,35881.200,12.170,47527.556,30.730,30.893,27.870,1.023,03,35536.160,10.585,49037.204,31.647,31.874,28.140,1.024,04,34751.392,10.200,48445.924,31.179,31.490,28.776,1.024
6151,02/06/2019,15:00,01,1017.100,02,35867.528,11.783,47980.016,31.017,31.187,27.880,1.024,03,35558.608,10.464,49225.252,31.768,31.996,28.123,1.024,04,35062.112,10.187,48896.652,31.500,31.783,28.521,1.024
6152,02/06/2019,15:30,01,1017.100,02,36201.684,12.269,47833.344,30.959,31.092,27.623,1.023,03,35585.624,10.406,49338.692,31.842,32.070,28.101,1.024,04,34908.164,10.122,48765.376,31.398,31.697,28.647,1.024
6153,02/06/2019,16:00,01,1017.200,02,36044.344,11.964,47993.784,31.045,31.196,27.744,1.024,03,35755.360,10.672,49227.156,31.793,31.998,27.968,1.024,04,34996.076,10.311,48643.596,31.333,31.618,28.575,1.024
6154,02/06/2019,16:30,01,1017.200,02,36357.700,12.523,47733.120,30.911,31.027,27.504,1.023,03,35731.544,10.579,49315.496,31.846,32.055,27.986,1.024,04,34711.384,10.375,48166.296,31.000,31.308,28.809,1.024
6155,02/06/2019,17:00,01,1017.400,02,36307.128,12.326,47902.856,31.014,31.137,27.543,1.023,03,35905.276,10.848,49205.244,31.797,31.983,27.851,1.024,04,34988.592,10.572,48297.912,31.116,31.394,28.581,1.024
6156,02/06/2019,17:30,01,1017.500,02,36212.952,12.044,48121.464,31.144,31.279,27.614,1.024,03,35944.408,10.909,49181.444,31.787,31.968,27.821,1.024,04,35049.724,10.429,48566.540,31.292,31.568,28.531,1.024
6157,02/06/2019,18:00,01,1017.300,02,36115.352,11.578,48565.656,31.417,31.568,27.689,1.024,03,35937.264,10.959,49107.180,31.739,31.920,27.826,1.024,04,34946.736,10.388,48475.912,31.209,31.498,28.626,1.024
6158,02/06/2019,18:30,01,1017.200,02,36253.096,11.809,48463.192,31.367,31.501,27.584,1.024,03,35843.624,10.896,49060.040,31.698,31.889,27.899,1.024,04,34886.744,10.394,48384.696,31.158,31.450,28.664,1.024
6159,02/06/2019,19:00,01,1017.400,02,36334.564,12.201,48090.432,31.137,31.259,27.522,1.024,03,36241.448,11.498,48835.060,31.602,31.743,27.593,1.024,04,35146.012,10.805,48219.612,31.086,31.343,28.453,1.024
6160,02/06/2019,19:30,01,1017.400,02,36288.892,12.138,48106.972,31.143,31.270,27.557,1.024,03,36381.824,11.946,48465.856,31.382,31.503,27.486,1.024,04,35548.728,11.607,47768.252,30.847,31.049,28.130,1.023
6161,02/06/2019,20:00,01,1017.200,02,36201.624,12.235,47873.664,30.985,31.118,27.623,1.023,03,36246.932,11.984,48239.692,31.223,31.356,27.589,1.024,04,35544.528,11.491,47904.544,30.933,31.138,28.134,1.024
6162,02/06/2019,20:30,01,1017.400,02,36123.672,12.012,48041.896,31.084,31.227,27.683,1.024,03,36226.972,11.935,48273.216,31.243,31.378,27.604,1.024,04,35784.124,11.793,47856.360,30.929,31.107,27.945,1.023
6163,02/06/2019,21:00,01,1017.500,02,36072.472,11.909,48099.104,31.115,31.264,27.722,1.024,03,36192.504,11.828,48358.744,31.293,31.433,27.630,1.024,04,35849.128,11.639,48131.652,31.111,31.286,27.895,1.024
6164,02/06/2019,21:30,01,1017.700,02,36104.872,11.862,48199.920,31.183,31.330,27.697,1.024,03,36123.860,11.725,48394.580,31.309,31.456,27.683,1.024,04,35665.840,11.634,47891.896,30.939,31.130,28.038,1.024
6165,02/06/2019,22:00,01,1017.800,02,36025.856,11.665,48337.176,31.261,31.419,27.758,1.024,03,36096.652,11.547,48579.036,31.423,31.576,27.703,1.024,04,35328.940,11.405,47719.732,30.792,31.018,28.305,1.023
6166,02/06/2019,22:30,01,1018.100,02,35944.796,11.414,48540.356,31.381,31.551,27.820,1.024,03,35991.236,11.294,48754.440,31.522,31.690,27.785,1.024,04,35287.744,10.866,48337.104,31.177,31.419,28.338,1.024
6167,02/06/2019,23:00,01,1018.400,02,35793.020,11.099,48731.884,31.485,31.676,27.938,1.024,03,35744.812,10.831,49007.472,31.653,31.855,27.976,1.024,04,35061.216,10.552,48423.620,31.204,31.475,28.522,1.024
6168,02/06/2019,23:30,01,1018.500,02,35807.752,11.291,48509.332,31.346,31.531,27.927,1.024,03,35757.516,10.721,49166.292,31.755,31.958,27.966,1.024,04,35280.724,10.595,48672.292,31.386,31.637,28.344,1.024
6169,03/06/2019,00:00,01,1018.600,02,35964.812,11.471,48496.332,31.356,31.523,27.805,1.024,03,35777.076,10.851,49025.592,31.669,31.867,27.951,1.024,04,35365.348,10.516,48891.216,31.534,31.779,28.276,1.024
6170,03/06/2019,00:30,01,1018.800,02,35944.924,11.420,48533.044,31.377,31.546,27.820,1.024,03,35822.672,10.973,48931.832,31.615,31.806,27.915,1.024,04,35129.200,10.874,48109.376,31.015,31.271,28.466,1.024
6171,03/06/2019,01:00,01,1018.800,02,35850.540,11.184,48702.412,31.473,31.657,27.894,1.024,03,35675.784,10.561,49261.704,31.805,32.020,28.030,1.024,04,35034.604,10.431,48542.044,31.275,31.552,28.543,1.024
6172,03/06/2019,01:30,01,1019.100,02,35843.784,11.127,48765.664,31.512,31.698,27.899,1.024,03,35643.360,10.552,49228.000,31.780,31.998,28.056,1.024,04,35022.612,10.313,48677.392,31.358,31.640,28.553,1.024
6173,03/06/2019,02:00,01,1019.100,02,35861.760,11.215,48678.812,31.460,31.641,27.885,1.024,03,35524.316,10.339,49341.532,31.836,32.072,28.150,1.024,04,34931.204,10.069,48867.056,31.465,31.764,28.628,1.024
6174,03/06/2019,02:30,01,1019.300,02,35465.544,10.438,49130.112,31.696,31.935,28.196,1.024,03,33546.848,10.088,46907.364,30.071,30.490,29.809,1.023,04,34588.588,10.033,48434.640,31.152,31.483,28.911,1.024
6175,03/06/2019,03:00,01,1019.500,02,35390.420,10.245,49278.076,31.780,32.031,28.256,1.024,03,35328.360,9.992,49524.396,31.925,32.191,28.306,1.025,04,34410.736,9.994,48236.384,31.005,31.354,29.061,1.024
6176,03/06/2019,03:30,01,1019.800,02,35349.244,10.175,49312.300,31.796,32.053,28.289,1.024,03,35419.436,10.134,49463.892,31.899,32.152,28.233,1.025,04,34813.696,10.142,48608.492,31.288,31.596,28.724,1.024
6177,03/06/2019,04:00,01,1019.700,02,35409.024,10.339,49180.456,31.721,31.967,28.241,1.024,03,35336.896,10.389,49016.340,31.609,31.861,28.299,1.024,04,34772.624,10.415,48199.404,31.028,31.330,28.758,1.024
6178,03/06/2019,04:30,01,1020.000,02,35586.596,10.689,48972.456,31.612,31.832,28.100,1.024,03,35439.608,10.711,48742.844,31.450,31.683,28.217,1.024,04,35749.708,10.648,49250.964,31.807,32.013,27.972,1.024
6179,03/06/2019,05:00,01,1020.100,02,35750.832,11.188,48562.484,31.373,31.566,27.971,1.024,03,35710.160,11.269,48404.772,31.269,31.463,28.003,1.024,04,34626.764,11.138,47096.032,30.318,30.612,28.879,1.023
6180,03/06/2019,05:30,01,1020.200,02,35874.652,11.607,48205.720,31.161,31.334,27.875,1.024,03,35787.440,11.608,48088.052,31.077,31.257,27.943,1.024,04,35012.660,11.365,47341.404,30.517,30.772,28.561,1.023
6181,03/06/2019,06:00,01,1020.400,02,35912.996,11.936,47853.200,30.941,31.105,27.845,1.023,03,35748.016,11.532,48128.816,31.098,31.284,27.974,1.024,04,34695.624,11.022,47331.920,30.475,30.766,28.822,1.023
6182,03/06/2019,06:30,01,1020.700,02,35876.060,12.313,47349.684,30.616,30.777,27.874,1.023,03,35644.284,11.402,48149.532,31.100,31.297,28.055,1.024,04,34778.588,11.286,47121.812,30.352,30.629,28.753,1.023
6183,03/06/2019,07:00,01,1020.900,02,35838.912,12.573,46992.580,30.383,30.545,27.903,1.023,03,35870.028,11.567,48249.204,31.188,31.362,27.878,1.024,04,34773.184,11.083,47363.004,30.503,30.786,28.758,1.023
6184,03/06/2019,07:30,01,1021.100,02,35841.832,12.312,47305.820,30.584,30.749,27.900,1.023,03,35746.496,11.441,48239.120,31.168,31.355,27.975,1.024,04,34507.988,10.856,47281.192,30.421,30.733,28.979,1.023
6185,03/06/2019,08:00,01,1021.300,02,35878.912,12.192,47498.616,30.711,30.874,27.872,1.023,03,35754.712,11.417,48280.136,31.195,31.382,27.968,1.024,04,34537.512,10.900,47266.700,30.415,30.723,28.954,1.023
6186,03/06/2019,08:30,01,1021.400,02,35792.284,12.900,46551.052,30.095,30.258,27.939,1.023,03,35964.824,12.171,47637.396,30.809,30.964,27.805,1.023,04,34733.192,11.452,46858.564,30.181,30.458,28.791,1.023
6187,03/06/2019,09:00,01,1021.500,02,35646.612,13.297,45908.656,29.668,29.841,28.053,1.022,03,35957.748,12.948,46709.564,30.213,30.361,27.810,1.023,04,35156.284,11.751,47067.292,30.359,30.594,28.444,1.023
6188,03/06/2019,09:30,01,1021.600,02,35625.948,13.335,45838.620,29.621,29.795,28.069,1.022,03,35795.796,13.000,46440.316,30.024,30.186,27.936,1.023,04,34837.220,12.251,46051.416,29.680,29.933,28.705,1.022
6189,03/06/2019,10:00,01,1021.600,02,35610.012,13.359,45791.156,29.589,29.764,28.082,1.022,03,35672.092,12.985,46296.160,29.920,30.093,28.033,1.022,04,34817.984,12.567,45661.280,29.429,29.680,28.721,1.022
6190,03/06/2019,10:30,01,1021.500,02,35761.124,13.191,46176.412,29.851,30.015,27.963,1.022,03,35853.188,13.081,46421.316,30.018,30.174,27.892,1.023,04,34707.764,12.514,45576.640,29.364,29.625,28.812,1.022
6191,03/06/2019,11:00,01,1021.700,02,35786.348,12.642,46842.780,30.282,30.448,27.944,1.023,03,35677.936,12.218,47202.016,30.501,30.681,28.029,1.023,04,34482.464,11.600,46343.756,29.828,30.123,29.000,1.023
6192,03/06/2019,11:30,01,1021.700,02,35685.784,12.110,47341.116,30.590,30.772,28.022,1.023,03,35615.216,11.756,47675.384,30.796,30.989,28.078,1.023,04,34306.112,11.000,46827.996,30.113,30.438,29.149,1.023
6193,03/06/2019,12:00,01,1021.600,02,35795.608,12.891,46565.864,30.105,30.268,27.936,1.023,03,35555.988,11.409,48021.816,31.009,31.214,28.125,1.024,04,34325.520,10.822,47072.880,30.269,30.597,29.133,1.023
